code,name
KE030,Baringo
KE036,Bomet
KE039,Bungoma
KE040,Busia
KE028,Elgeyo-Marakwet
KE014,Embu
KE007,Garissa
KE043,Homa Bay
KE011,Isiolo
KE034,Kajiado
KE037,Kakamega
KE035,Kericho
KE022,Kiambu
KE003,Kilifi
KE020,Kirinyaga
KE045,Kisii
KE042,Kisumu
KE015,Kitui
KE002,Kwale
KE031,Laikipia
KE005,Lamu
KE016,Machakos
KE017,Makueni
KE009,Mandera
KE010,Marsabit
KE012,Meru
KE044,Migori
KE001,Mombasa
KE021,Murang'a
KE047,Nairobi
KE029,Nandi
KE033,Narok
KE046,Nyamira
KE018,Nyandarua
KE019,Nyeri
KE025,Samburu
KE041,Siaya
KE006,Taita Taveta
KE004,Tana River
KE013,Tharaka-Nithi
KE026,Trans Nzoia
KE023,Turkana
KE027,Uasin Gishu
KE038,Vihiga
KE008,Wajir
KE024,West Pokot
KE032,Nakuru
